start_time_s,end_time_s,duration_s,freq_hz,bit,periods,n_bits
-0.0372411260082937,-0.035848029949751864,0.0013930960585418345,22278.45414831531,1,31.036026664423044,1
-0.035848029949751864,-0.030940765678813403,0.004907264270938461,20852.07768666403,0,102.3266558065995,2
-0.030940765678813403,-0.024292334138792164,0.006648431540021239,22278.45414831531,1,148.11677722257653,3
-0.024292334138792164,-0.019383180643289023,0.004909153495503141,20852.07768666403,0,102.36605006398977,2
-0.019383180643289023,-0.01712076141667749,0.0022624192266115332,22278.45414831531,1,50.403203004332035,1
-0.01712076141667749,-0.012319158516772516,0.004801602899904974,20852.07768666403,0,100.12339668932981,2
-0.012319158516772516,-0.01016044629371115,0.0021587122230613664,22278.45414831531,1,48.09277128088046,1
-0.01016044629371115,-0.0004607980538478007,0.009699648239863348,20852.07768666403,0,202.25781863094454,4
-0.0004607980538478007,0.001696207140675946,0.002157005194523747,22278.45414831531,1,48.05474132387525,1
0.001696207140675946,0.0066006984069044965,0.00490449126622855,20852.07768666403,0,102.26883289696296,2
0.0066006984069044965,0.03345645417124689,0.02685575576434239,22278.45414831531,1,598.3047234142566,12
0.03345645417124689,0.035966851974556,0.0025103978033091112,20852.07768666403,0,52.34701001903231,1
0.035966851974556,0.04036992596052541,0.004403073985969411,22278.45414831531,1,98.09368190805945,2
0.04036992596052541,0.04287837477721017,0.002508448816684758,20852.07768666403,0,52.30636959853103,1
0.04287837477721017,0.045142172356462756,0.0022637975792525883,22278.45414831531,1,50.43391057044599,1
0.045142172356462756,0.04754820444345167,0.0024060320869889115,20852.07768666403,0,50.17076799449917,1
0.04754820444345167,0.04970638688665818,0.0021581824432065147,22278.45414831531,1,48.080968604675455,1
0.04970638688665818,0.052215503132119284,0.0025091162454611016,20852.07768666403,0,52.32028687522566,1
0.052215503132119284,0.056617540823497986,0.004402037691378702,22278.45414831531,1,98.0705948665362,2
0.056617540823497986,0.06152189913969244,0.004904358316194457,20852.07768666403,0,102.26606061252362,2
0.06152189913969244,0.06506977163929906,0.0035478724996066135,22278.45414831531,1,79.04111480655477,2
